Country/Region,Continent,Deaths,Cases
USA,North America,162804,5032179
Brazil,South America,98644,2917562
India,Asia,41638,2025409
Russia,Europe,14606,871894
South Africa,Africa,9604,538184
Mexico,North America,50517,462690
Peru,South America,20424,455409
Chile,South America,9889,366671
Colombia,South America,11939,357710
Spain,Europe,28500,354530
Iran,Asia,17976,320117
UK,Europe,46413,308134
Saudi Arabia,Asia,3055,284226
Pakistan,Asia,6035,281863
Bangladesh,Asia,3306,249651
Italy,Europe,35187,249204
Turkey,Asia,5798,237265
Argentina,South America,4251,228195
Germany,Europe,9252,215210
France,Europe,30312,195633
Iraq,Asia,5161,140603
Philippines,Asia,2150,119460
Indonesia,Asia,5521,118753
Canada,North America,8966,118561
Qatar,Asia,178,112092
Kazakhstan,Asia,1058,95942
Egypt,Africa,4951,95006
Ecuador,South America,5877,90537
Bolivia,South America,3465,86423
Sweden,Europe,5766,81967
Oman,Asia,492,80713
Israel,Asia,576,79559
Ukraine,Europe,1819,76808
Dominican Republic,North America,1246,76536
Panama,North America,1574,71418
Belgium,Europe,9859,71158
Kuwait,Asia,469,70045
Belarus,Europe,580,68503
UAE,Asia,354,61845
Romania,Europe,2566,57895
Netherlands,Europe,6153,56982
Singapore,Asia,27,54555
Guatemala,North America,2119,54339
Portugal,Europe,1743,52061
Poland,Europe,1774,49515
Nigeria,Africa,930,45244
Honduras,North America,1423,45098
Bahrain,Asia,156,42889
Japan,Asia,1026,42263
Armenia,Asia,772,39819
Ghana,Africa,199,39642
Kyrgyzstan,Asia,1447,38659
Afghanistan,Asia,1298,36896
Switzerland,Europe,1985,36108
Algeria,Africa,1273,33626
Azerbaijan,Asia,479,33247
Morocco,Africa,449,29644
Uzbekistan,Asia,175,28315
Serbia,Europe,621,27332
Moldova,Europe,828,26628
Ireland,Europe,1768,26372
Kenya,Africa,399,24411
Venezuela,South America,195,22299
Nepal,Asia,65,21750
Austria,Europe,719,21696
Costa Rica,North America,200,21070
Ethiopia,Africa,365,20900
Australia,Australia/Oceania,255,19890
El Salvador,North America,513,19126
Czechia,Europe,390,17731
Cameroon,Africa,391,17718
Ivory Coast,Africa,103,16447
S. Korea,Asia,303,14519
Denmark,Europe,617,14306
Palestine,Asia,92,13398
Bosnia and Herzegovina,Europe,384,13396
Bulgaria,Europe,435,13014
Madagascar,Africa,134,12526
Sudan,Africa,763,11780
North Macedonia,Europe,517,11399
Senegal,Africa,223,10715
Norway,Europe,256,9468
DRC,Africa,215,9309
Malaysia,Asia,125,9038
French Guiana,South America,47,8127
Gabon,Africa,51,7787
Tajikistan,Asia,62,7665
Guinea,Africa,49,7664
Haiti,North America,171,7544
Finland,Europe,331,7532
Zambia,Africa,199,7164
Luxembourg,Europe,119,7073
Mauritania,Africa,157,6444
Paraguay,South America,66,6375
Albania,Europe,188,6016
Lebanon,Asia,70,5672
Croatia,Europe,155,5404
Djibouti,Africa,59,5330
Greece,Europe,210,5123
Libya,Africa,107,4879
Equatorial Guinea,Africa,83,4821
Maldives,Asia,19,4680
CAR,Africa,59,4620
Hungary,Europe,600,4597
Malawi,Africa,137,4491
Zimbabwe,Africa,84,4339
